URL,Host,Date
https://foxnews.com/politics/biden-keystone-xl-pipeline-cancellation-gut-punch-small-businesses,a/alicia-acuna,3-Feb
https://foxnews.com/us/colorado-town-hopes-to-strike-gold-by-converting-old-mine-into-fresh-water-source,a/alicia-acuna,3-Jul-18
https://foxnews.com/us/arizona-area-where-border-agent-was-shot-is-known-for-drug-human-trafficking-activity,a/alicia-acuna,13-Jun-18
https://foxnews.com/us/colorado-baker-hopes-supreme-court-ruling-boosts-floundering-wedding-shop,a/alicia-acuna,5-Jun-18
https://foxnews.com/politics/us-will-decide-whether-uranium-from-countries-like-russia-pose-national-security-risk,a/alicia-acuna,1-Jun-18
https://foxnews.com/us/colorado-hospitals-find-success-in-reducing-opioid-addiction,a/alicia-acuna,27-Mar-18
https://foxnews.com/politics/colorado-race-could-have-major-impact-on-future-of-private-school-voucher-programs,a/alicia-acuna,7-Nov-17
https://foxnews.com/us/hurricanes-wildfires-hit-construction-industry-hard,a/alicia-acuna,23-Oct-17
https://foxnews.com/us/colorado-tries-to-fight-homeless-problem-that-may-have-been-triggered-by-pot-law,a/alicia-acuna,27-Sep-17
https://foxnews.com/us/arizona-flash-flood-rescue-workers-still-searching-for-missing-man-27,a/alicia-acuna,27-Sep-17
https://foxnews.com/us/brazen-thieves-targeting-gun-stores-as-atf-sees-dramatic-rise-in-firearm-thefts,a/alicia-acuna,26-Sep-17
https://foxnews.com/health/opioid-crisis-colorado-hospitals-join-forces-to-stem-drug-abuse,a/alicia-acuna,26-Sep-17
https://foxnews.com/us/as-some-of-americas-small-towns-begin-to-vanish-others-see-record-growth,a/alicia-acuna,19-Sep-17
https://foxnews.com/us/please-pass-the-salt-icy-east-coast-says-to-western-producers,a/alicia-acuna,14-Jul-17
https://foxnews.com/us/air-force-cadet-creates-bulletproof-breakthrough,a/alicia-acuna,2-Jun-17
https://foxnews.com/politics/greg-gianforte-fox-news-team-witnesses-gop-house-candidate-body-slam-reporter,a/alicia-acuna,25-May-17
https://foxnews.com/us/military-veteran-making-steel-us-flags-shows-his-mettle,a/alicia-acuna,29-Mar-17
https://foxnews.com/us/gun-rights-supporters-see-political-tide-shifting-in-their-favor,a/alicia-acuna,22-Mar-17
https://foxnews.com/politics/federal-crackdown-on-legal-weed-coming,a/alicia-acuna,24-Feb-17
https://foxnews.com/politics/the-first-100-days-trump-faces-steep-challenge-in-bid-to-ease-child-care-costs,a/alicia-acuna,23-Dec-16
https://foxnews.com/world/due-to-partial-government-shutdown-immigration-status-check-system-e-verify-is-actually-not-verifying,a/alicia-acuna,11-Jan-17
https://foxnews.com/lifestyle/valencia-welcomes-spring-with-las-fallas-festival,a/alicia-acuna,10-Jan-17
https://foxnews.com/lifestyle/las-fallas-festival-kicks-off-in-spain,a/alicia-acuna,10-Jan-17
https://foxnews.com/world/learning-english-through-the-radio-and-for-free,a/alicia-acuna,4-Jan-17
https://foxnews.com/politics/hispanic-leadership-network-targets-new-mexico-swing-states,a/alicia-acuna,4-Jan-17
https://foxnews.com/tech/drinking-with-bilingual-friends-theres-an-app-for-that,a/alicia-acuna,4-Jan-17
https://foxnews.com/lifestyle/real-life-rosie-the-riveter-is-proud-mexican-american-from-kansas,a/alicia-acuna,11-Jan-17
https://foxnews.com/lifestyle/spain-welcomes-spring-in-fiery-las-fallas-festival,a/alicia-acuna,31-Dec-16
https://foxnews.com/politics/trumps-immigration-message-may-have-impact-on-arizona-voters,a/alicia-acuna,7-Nov-16
https://foxnews.com/us/student-classes-to-fight-college-rape-at-a-critical-time,a/alicia-acuna,2-Sep-16
https://foxnews.com/politics/state-gop-lawmakers-working-to-roll-back-gun-restrictions-after-midterm-wins,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/colorado-to-california-hands-off-our-water,a/alicia-acuna,20-Dec-15
https://foxnews.com/us/largest-jury-pool-in-us-history-gathered-as-colo-movie-gunman-james-holmes-trial-begins,a/alicia-acuna,3-May-16
https://foxnews.com/story/in-5-denver,a/alicia-acuna,18-Nov-15
https://foxnews.com/story/reservoir-draining-irks-colorado-fishermen,a/alicia-acuna,16-Nov-15
https://foxnews.com/story/a-river-runs-through-it,a/alicia-acuna,16-Nov-15
https://foxnews.com/story/dangers-of-grilling-meat-to-be-made-official,a/alicia-acuna,16-Nov-15
https://foxnews.com/story/baby-boomers-fight-father-time,a/alicia-acuna,16-Nov-15
https://foxnews.com/story/universities-launch-war-on-cheating,a/alicia-acuna,18-Nov-15
https://foxnews.com/us/historic-world-war-ii-era-plane-set-to-fly-again,a/alicia-acuna,28-Nov-15
https://foxnews.com/us/father-fighting-utah-adoption-law-to-get-custody-of-his-daughter,a/alicia-acuna,21-Nov-15
https://foxnews.com/politics/co-gov-race-whos-the-third-party-candidate,a/alicia-acuna,23-Dec-15
https://foxnews.com/politics/colorado-primary-drama,a/alicia-acuna,23-Dec-15
https://foxnews.com/politics/bennet-campaign-on-ny-times-article-bt,a/alicia-acuna,23-Dec-15
https://foxnews.com/politics/protection-at-last-university-with-liberal-bent-bans-political-discrimination,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/reefer-sadness-you-can-smoke-it-but-you-cant-buy-it,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/rocky-mountain-upset-polling-shows-once-popular-colorado-dem-governor-in-trouble,a/alicia-acuna,20-Dec-15
https://foxnews.com/tech/gps-technology-keeps-kids-safe,a/alicia-acuna,16-Nov-15
https://foxnews.com/travel/social-media-weddings-the-ultimate-do-or-dont,a/alicia-acuna,16-Nov-15
https://foxnews.com/politics/this-is-our-heaven-colorado-couple-fights-to-save-land-from-eminent-domain,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/utah-governor-signs-bill-giving-fathers-new-rights-in-adoption-cases,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/colorado-lawmakers-working-to-close-loopholes-in-legal-marijuana-law,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/three-utah-bills-to-change-rights-of-biological-fathers-in-adoption-cases-encounter-pushback,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/pennsylvania-man-wins-partial-victory-in-attempt-to-win-back-daughter,a/alicia-acuna,20-Dec-15
https://foxnews.com/politics/battle-grows-over-extending-tax-breaks-for-wind-energy-producers,a/alicia-acuna,23-Dec-15
https://foxnews.com/politics/gop-sen-hatch-clears-big-re-election-hurdle-still-faces-june-primary-in-utah,a/alicia-acuna,23-Dec-15
https://foxnews.com/us/booze-blues-utahs-laws-make-it-tricky-to-get-a-drink,a/alicia-acuna,30-Nov-15
https://foxnews.com/tech/military-surveillance-blimp-takes-to-maryland-skies,a/alicia-acuna,5-Nov-15
https://foxnews.com/opinion/dr-manny-alvarez-covid-19-isnt-only-medical-problem-needing-treatment-restore-other-health-services,a/manny-alvarez,26-Apr
https://foxnews.com/health/dr-manny-alvarez-advice-on-how-to-prepare-for-labor-during-the-coronavirus-pandemic,a/manny-alvarez,24-Apr
https://foxnews.com/opinion/coronavirus-easter-2020-hope-manny-alvarez,a/manny-alvarez,11-Apr
https://foxnews.com/health/stopping-coronavirus-make-own-hand-sanitizer-at-home,a/manny-alvarez,2-Apr
https://foxnews.com/health/will-zinc-supplements-protect-against-coronavirus,a/manny-alvarez,1-Apr
https://foxnews.com/health/chloroquine-being-considered-treat-coronavirus-preliminary-results,a/manny-alvarez,19-Mar
https://foxnews.com/opinion/manny-alvarez-coronavirus,a/manny-alvarez,11-Mar
https://foxnews.com/health/coronavirus-2020-campaign-trail-change,a/manny-alvarez,10-Mar
https://foxnews.com/health/what-is-hemorrhoid-how-rid-of-it,a/manny-alvarez,7-Mar
https://foxnews.com/opinion/coronavirus-prepare-protect-dr-manny-alvarez,a/manny-alvarez,26-Feb
https://foxnews.com/health/is-chicken-thigh-fat-good-for-you,a/manny-alvarez,16-Feb-20
https://foxnews.com/health/should-you-drink-alkaline-water,a/manny-alvarez,15-Feb-20
https://foxnews.com/health/how-to-get-rid-ear-wax,a/manny-alvarez,10-Feb-20
https://foxnews.com/health/neti-pot-how-often-can-you-use,a/manny-alvarez,9-Feb-20
https://foxnews.com/health/the-dangers-of-strep-throat,a/manny-alvarez,26-Sep-19
https://foxnews.com/health/kissing-bugs-dangerous-what-to-know,a/manny-alvarez,15-Nov-19
https://foxnews.com/health/what-is-adenovirus,a/manny-alvarez,25-Jan-20
https://foxnews.com/health/do-need-tonsils-removed,a/manny-alvarez,13-Nov-19
https://foxnews.com/health/what-is-a-canker-sore,a/manny-alvarez,19-Jan-20
https://foxnews.com/health/rush-limbaugh-cancer-types-risk-factors,a/manny-alvarez,3-Feb-20
https://foxnews.com/health/what-you-should-know-about-the-coronavirus-outbreak,a/manny-alvarez,31-Jan-20
https://foxnews.com/health/what-is-dry-fasting,a/manny-alvarez,18-Jan-20
https://foxnews.com/health/identifying-stds,a/manny-alvarez,12-Jan-20
https://foxnews.com/health/is-plastic-surgery-safe,a/manny-alvarez,5-Jan-20
https://foxnews.com/health/what-exactly-is-botox,a/manny-alvarez,4-Jan-20
https://foxnews.com/health/how-heal-popped-pimple,a/manny-alvarez,29-Dec-19
https://foxnews.com/health/how-common-meningitis-in-college,a/manny-alvarez,22-Dec-19
https://foxnews.com/health/what-is-anemia-make-you-cold,a/manny-alvarez,21-Dec-19
https://foxnews.com/health/bad-breath-how-to-get-rid-it,a/manny-alvarez,15-Dec-19
https://foxnews.com/health/how-common-are-tapeworms,a/manny-alvarez,14-Dec-19
https://foxnews.com/health/which-meat-healthiest-eat,a/manny-alvarez,8-Dec-19
https://foxnews.com/health/why-is-your-stomach-making-noises,a/manny-alvarez,7-Dec-19
https://foxnews.com/health/what-is-iron-lung-machine-used-for,a/manny-alvarez,30-Nov-19
https://foxnews.com/health/chronic-wasting-disease-deer-dangerous-humans,a/manny-alvarez,23-Nov-19
https://foxnews.com/health/woman-dizziness-missing-cerebellum,a/manny-alvarez,17-Nov-19
https://foxnews.com/health/musical-tinnitus-case-song-that-never-ends,a/manny-alvarez,10-Nov-19
https://foxnews.com/health/can-you-treat-a-uti-at-home,a/manny-alvarez,9-Nov-19
https://foxnews.com/health/what-is-ivf-how-in-vitro-fertilization-works,a/manny-alvarez,6-Nov-19
https://foxnews.com/health/alive-man-thought-he-was-dead,a/manny-alvarez,3-Nov-19
https://foxnews.com/health/salmonella-when-call-doctor,a/manny-alvarez,2-Nov-19
https://foxnews.com/health/sore-throat-strep-how-to-difference,a/manny-alvarez,30-Oct-19
https://foxnews.com/health/energy-drink-habit-26-year-old-heart-attack,a/manny-alvarez,27-Oct-19
https://foxnews.com/health/woman-hear-own-heartbeat-inside-ear,a/manny-alvarez,20-Oct-19
https://foxnews.com/health/student-avalanche-seizures-sudoku,a/manny-alvarez,13-Oct-19
https://foxnews.com/health/womans-brain-leaking-after-pilates,a/manny-alvarez,29-Sep-19
https://foxnews.com/health/cord-blood-what-stem-cells-can-do,a/manny-alvarez,22-Sep-19
https://foxnews.com/health/mans-20-foot-tapeworm-linked-raw-beef,a/manny-alvarez,15-Sep-19
https://foxnews.com/health/nearly-brain-dead-man-survived-after-taken-off-life-support,a/manny-alvarez,8-Sep-19
https://foxnews.com/health/family-discovers-unusual-source-behind-boys-lead-poisoning,a/manny-alvarez,1-Sep-19
https://foxnews.com/health/cuddle-therapy-self-care-does-it-work,a/manny-alvarez,27-Aug-19
https://foxnews.com/health/womans-chest-pain-spiraling-esophagus,a/manny-alvarez,25-Aug-19
https://foxnews.com/health/teen-alive-car-landed-on-him-medical-miracle,a/manny-alvarez,18-Aug-19
https://foxnews.com/health/procedure-postpones-menopause-longer-fertility,a/manny-alvarez,13-Aug-19
https://foxnews.com/health/how-woman-gave-birth-in-coma,a/manny-alvarez,4-Aug-19
https://foxnews.com/health/autism-high-estrogen-levels-linked-researchers-suggest,a/manny-alvarez,30-Jul-19
https://foxnews.com/health/first-child-to-receive-a-double-hand-transplant-excels-in-his-abilities,a/manny-alvarez,28-Jul-19
https://foxnews.com/health/tattoos-track-chronic-diseases-diabetes,a/manny-alvarez,26-Jul-19
https://foxnews.com/health/father-fingers-replaced-with-toes,a/manny-alvarez,21-Jul-19
https://foxnews.com/health/soldier-ear-grown-arm-transplant,a/manny-alvarez,14-Jul-19
https://foxnews.com/health/toothpick-womans-liver-should-concerned,a/manny-alvarez,12-Jul-19
https://foxnews.com/health/spains-bizarre-baby-jumping-festival,a/manny-alvarez,8-Jul-19
https://foxnews.com/health/miracle-boy-survives-cardiac-arrest-hour-of-cpr,a/manny-alvarez,7-Jul-19
https://foxnews.com/health/suicide-survivor-face-transplant,a/manny-alvarez,30-Jun-19
https://foxnews.com/health/snake-massages-enjoy-at-own-risk,a/manny-alvarez,25-Jun-19
https://foxnews.com/health/what-is-jerusalem-syndrome,a/manny-alvarez,23-Jun-19
https://foxnews.com/health/pesticide-poisoning-dominican-republic-lawsuit,a/manny-alvarez,22-Jun-19
https://foxnews.com/health/girl-claims-she-went-to-heaven-after-tree-fall-cured-of-chronic-illness,a/manny-alvarez,16-Jun-19
https://foxnews.com/health/a-reverends-miracle-mans-sight-restored-after-going-blind-14-years-ago,a/manny-alvarez,2-Jun-19
https://foxnews.com/health/how-a-womans-pet-dog-helped-detect-her-cancer-3-different-times,a/manny-alvarez,26-May-19
https://foxnews.com/health/chef-temporarily-lost-hearing-after-eating-spicy-meal-heres-what-happened,a/manny-alvarez,20-May-19
https://foxnews.com/health/is-roadkill-a-harmless-all-you-can-eat-buffet-or-game-of-russian-roulette,a/manny-alvarez,15-May-19
https://foxnews.com/health/maggots-used-to-treat-mans-infected-foot-how-it-worked,a/manny-alvarez,5-May-19
https://foxnews.com/health/blood-test-diagnoses-preeclampsia-faster-reduces-risks,a/manny-alvarez,3-May-19
https://foxnews.com/health/fish-mucus-shows-promise-as-antibiotic-even-against-superbugs,a/manny-alvarez,1-May-19
https://foxnews.com/health/green-tea-hepatitis-teen-diet,a/manny-alvarez,28-Apr-19
https://foxnews.com/health/how-an-infants-tumor-had-fully-formed-teeth-inside,a/manny-alvarez,21-Apr-19
https://foxnews.com/health/arizona-woman-woke-up-with-british-accent,a/manny-alvarez,14-Apr-19
https://foxnews.com/health/the-miracle-of-a-young-boy-who-survived-internal-decapitation,a/manny-alvarez,7-Apr-19
https://foxnews.com/health/is-smelling-gasoline-a-dangerous-addiction,a/manny-alvarez,16-Feb-19
https://foxnews.com/health/does-absinthe-really-make-drinkers-hallucinate,a/manny-alvarez,14-Feb-19
https://foxnews.com/health/starvation-clinics-the-dangerous-new-trend-in-russia,a/manny-alvarez,12-Feb-19
https://foxnews.com/health/drinking-urine-can-it-help,a/manny-alvarez,8-Feb-19
https://foxnews.com/opinion/dr-manny-alvarez-late-term-abortion-in-new-york-and-virginia-an-ob-gyns-take,a/manny-alvarez,1-Feb-19
https://foxnews.com/health/snapchat-dysmorphia-can-i-look-like-my-selfie,a/manny-alvarez,1-Feb-19
https://foxnews.com/health/you-probably-shouldnt-buy-80-used-tissues,a/manny-alvarez,29-Jan-19
https://foxnews.com/health/can-you-use-medical-marijuana-if-youre-a-diabetic,a/manny-alvarez,22-Jan-19
https://foxnews.com/health/porn-addiction-why-americans-are-in-more-danger-than-ever,a/manny-alvarez,16-Jan-19
https://foxnews.com/health/bigorexia-when-bodybuilding-goes-too-far,a/manny-alvarez,14-Jan-19
